replication,strategy,budget,best_r2
2,Broad,52,0.9974394012324491
2,Broad,53,0.9974394012324491
2,Broad,54,0.9974394012324491
2,Broad,55,0.9974394012324491
2,Broad,56,0.9974394012324491
2,Broad,57,0.9974394012324491
2,Broad,58,0.9974394012324491
2,Broad,59,0.9974394012324491
2,Broad,60,0.9974394012324491
2,Broad,61,0.9974394012324491
2,Broad,62,0.9974394012324491
2,Broad,63,0.9974394012324491
2,Broad,64,0.9974394012324491
2,Broad,65,0.9974394012324491
2,Broad,66,0.9974394012324491
2,Broad,67,0.9974394012324491
2,Broad,68,0.9974394012324491
2,Broad,69,0.9974394012324491
2,Broad,70,0.9974394012324491
2,Broad,71,0.9974394012324491
2,Broad,72,0.9974394012324491
2,Broad,73,0.9974394012324491
2,Broad,74,0.9974394012324491
2,Broad,75,0.9974394012324491
2,Broad,76,0.9974394012324491
2,Broad,77,0.9974394012324491
2,Broad,78,0.9974394012324491
2,Broad,79,0.9974394012324491
2,Broad,80,0.9974394012324491
2,Broad,81,0.9974394012324491
2,Broad,82,0.9974394012324491
2,Broad,83,0.9974394012324491
2,Broad,84,0.9974394012324491
2,Broad,85,0.9974394012324491
2,Broad,86,0.9974394012324491
2,Broad,87,0.9974394012324491
2,Broad,88,0.9974394012324491
2,Broad,89,0.9974394012324491
2,Broad,90,0.9974394012324491
2,Broad,91,0.9974394012324491
2,Broad,92,0.9974394012324491
2,Broad,93,0.9974394012324491
2,Broad,94,0.9974394012324491
2,Broad,95,0.9974394012324491
2,Broad,96,0.9974394012324491
2,Broad,97,0.9974394012324491
2,Broad,98,0.9974394012324491
2,Broad,99,0.9974394012324491
2,Broad,100,0.9974394012324491
2,Broad,101,0.9974394012324491
2,Broad,102,0.9974394012324491
2,Broad,103,0.9974394012324491
2,Broad,104,0.9974394012324491
2,Broad,105,0.9974394012324491
2,Broad,106,0.9974394012324491
2,Broad,107,0.9974394012324491
2,Broad,108,0.9974394012324491
2,Broad,109,0.9974394012324491
2,Broad,110,0.9974394012324491
2,Broad,111,0.9974394012324491
2,Broad,112,0.9974394012324491
2,Broad,113,0.9974394012324491
2,Broad,114,0.9974394012324491
2,Broad,115,0.9974394012324491
2,Broad,116,0.9974394012324491
2,Broad,117,0.9974394012324491
2,Broad,118,0.9974394012324491
2,Broad,119,0.9974394012324491
2,Broad,120,0.9974394012324491
3,AIBA,1,0.2925590276047859
3,AIBA,2,0.2925590276047859
3,AIBA,3,0.2925590276047859
3,AIBA,4,0.2925590276047859
3,AIBA,5,0.5753523175308498
3,AIBA,6,0.5753523175308498
3,AIBA,7,0.5753523175308498
3,AIBA,8,0.5753523175308498
3,AIBA,9,0.5753523175308498
3,AIBA,10,0.5800249125615081
3,AIBA,11,0.5800249125615081
3,AIBA,12,0.5800249125615081
3,AIBA,13,0.5800249125615081
3,AIBA,14,0.9763870213381552
3,AIBA,15,0.9763870213381552
3,AIBA,16,0.9967796206381178
3,AIBA,17,0.9967796206381178
3,AIBA,18,0.9967796206381178
3,AIBA,19,0.9967796206381178
3,AIBA,20,0.9967796206381178
3,AIBA,21,0.9967796206381178
3,AIBA,22,0.9967796206381178
3,AIBA,23,0.9967796206381178
3,AIBA,24,0.9967796206381178
3,AIBA,25,0.9967796206381178
3,AIBA,26,0.9967796206381178
3,AIBA,27,0.9967796206381178
3,AIBA,28,0.996843641079652
3,AIBA,29,0.996843641079652
3,AIBA,30,0.996843641079652
3,AIBA,31,0.996843641079652
3,AIBA,32,0.996843641079652
3,AIBA,33,0.996843641079652
3,AIBA,34,0.996843641079652
3,AIBA,35,0.996843641079652
3,AIBA,36,0.996843641079652
3,AIBA,37,0.996843641079652
3,AIBA,38,0.996843641079652
3,AIBA,39,0.996843641079652
3,AIBA,40,0.996843641079652
3,AIBA,41,0.996843641079652
3,AIBA,42,0.996843641079652
3,AIBA,43,0.996843641079652
3,AIBA,44,0.996843641079652
3,AIBA,45,0.996843641079652
3,AIBA,46,0.996843641079652
3,AIBA,47,0.996843641079652
3,AIBA,48,0.996843641079652
3,AIBA,49,0.996843641079652
3,AIBA,50,0.996843641079652
3,AIBA,51,0.996843641079652
3,AIBA,52,0.996843641079652
3,AIBA,53,0.996843641079652
3,AIBA,54,0.996843641079652
3,AIBA,55,0.996843641079652
3,AIBA,56,0.996843641079652
3,AIBA,57,0.996843641079652
3,AIBA,58,0.996843641079652
3,AIBA,59,0.996843641079652
3,AIBA,60,0.996843641079652
3,AIBA,61,0.996843641079652
3,AIBA,62,0.996843641079652
3,AIBA,63,0.996843641079652
3,AIBA,64,0.996843641079652
3,AIBA,65,0.996843641079652
3,AIBA,66,0.996843641079652
3,AIBA,67,0.996843641079652
3,AIBA,68,0.996843641079652
3,AIBA,69,0.996843641079652
3,AIBA,70,0.996843641079652
3,AIBA,71,0.9982094301032671
3,AIBA,72,0.9982094301032671
3,AIBA,73,0.9982094301032671
3,AIBA,74,0.9982094301032671
3,AIBA,75,0.9982094301032671
3,AIBA,76,0.9982094301032671
3,AIBA,77,0.9982094301032671
3,AIBA,78,0.9982094301032671
3,AIBA,79,0.9982094301032671
3,AIBA,80,0.9982094301032671
3,AIBA,81,0.9982094301032671
3,AIBA,82,0.9982094301032671
3,AIBA,83,0.9982094301032671
3,AIBA,84,0.9982094301032671
3,AIBA,85,0.9982094301032671
3,AIBA,86,0.9982094301032671
