batch_size,max_epochs,learning_rate,neurons,dropout_rate,num_hidden_layers,activation,r2,training_seconds,actual_epochs,num_params,seed,replication,stage
14,28,2.202679211526167e-05,5,0.0033256888840190227,2,0.5,-0.6553870532996933,0.8743435000069439,28,71,212031,2,initial_shared
61,2,1.925198517332093e-05,5,0.002028477689867423,3,0.0,-0.5589365011774132,0.46993580006528646,2,101,212032,2,initial_shared
42,170,0.05082296880203276,177,0.21152827727419912,2,0.0,0.9377095331109194,1.6644646999193355,170,32923,212033,2,initial_shared
101,14,0.0004981962461616389,75,0.03876392929221743,1,1.0,-0.48961997455759,0.3274536000099033,14,601,212034,2,initial_shared
2,19,0.03119184673110707,95,0.2988606056555053,2,0.5,0.9509276848293121,1.7500552999554202,19,9881,212035,2,initial_shared
85,322,2.1817624240778353e-05,18,4.9664635196863414e-05,2,1.0,-0.5775908947155166,1.1673775999806821,322,487,212036,2,initial_shared
35,1,0.00023904979943412946,17,0.003201286768769875,1,0.5,-0.6112612203817844,0.29673850000835955,1,137,212037,2,initial_shared
3,8,0.017950610240454676,49,0.0036314722899834615,1,1.0,0.9215295729435551,0.6201206999830902,8,393,212038,2,initial_shared
37,197,0.017462608607746354,55,7.867708077182177e-05,2,0.5,0.9974394012324491,1.4208581999409944,197,3521,212039,2,initial_shared
12,7,0.06927584824247161,7,0.00025914441392703983,3,0.0,0.9609560575666999,0.5521714999340475,7,169,212040,2,initial_shared
18,46,0.0005034037256588548,18,5.03151074198277e-05,2,0.0,0.7048246755699727,0.8771366999717429,46,487,212041,2,initial_shared
2,244,0.030827236231020145,22,6.0438486090756906e-05,3,1.0,0.8120923939144933,18.250147200073116,244,1189,212042,2,initial_shared
36,2,0.010137577870612884,19,0.002044897721114053,3,1.0,0.036407344295321,0.4466219999594614,2,913,212043,2,initial_shared
